date,Lhour,Lmin,Lsec,Rhour,Rmin,Rsec
11/9/20,1,44,32,14,52,103
11/8/20,1,0,0,4,28,53
11/7/20,6,40,57,9,59,59
11/6/20,3,22,3,11,12,31
11/5/20,4,36,31,12,53,52
11/4/20,4,6,26,9,59,59
11/3/20,4,15,2,9,59,59
11/2/20,2,38,13,3,13,27
11/13/20,2,5,50,9,25,31
11/11/20,1,18,4,9,45,15
11/10/20,4,26,21,9,43,25
11/14/20,1,42,44,9,59,59
11/15/20,2,10,53,4,16,25
11/16/20,1,29,26,17,36,20
11/17/20,2,17,49,6,56,52
11/18/20,3,37,3,16,13,25
11/19/20,1,31,3,9,59,59
11/20/20,8,13,41,5,18,56
11/21/20,3,21,58,6,40,27
11/22/20,4,11,48,9,59,59
11/23/20,4,36,18,8,0,30
11/24/20,4,5,32,3,0,5
11/25/20,5,25,59,7,41,45
11/26/20,0,40,0,2,0,0
11/28/20,7,10,55,2,21,50
11/29/20,12,16,0,6,35,27
11/30/20,11,50,44,4,35,37
12/1/20,5,46,19,6,25,26
12/2/20,4,7,53,8,13,10
12/3/20,5,12,2,9,11,22
12/4/20,7,38,58,6,12,59
12/5/20,0,54,45,12,51,22
12/8/20,5,53,20,9,59,59
12/9/20,1,42,7,15,10,11
12/10/20,4,31,38,15,54,30
12/11/20,3,20,38,4,12,39
12/12/20,4,28,51,1,57,55
12/13/20,3,16,27,9,14,29
12/14/20,0,0,0,1,57,40
12/15/20,4,29,38,9,59,59
12/16/20,3,22,49,1,38,45
12/17/20,0,0,0,1,34,0
12/18/20,6,8,9,8,10,37
12/19/20,3,5,51,8,24,7
12/20/20,2,37,56,13,13,29
12/21/20,3,2,18,11,29,3
12/22/20,3,18,47,9,59,59
12/23/20,5,1,5,11,45,8
12/24/20,0,3,54,15,54,22
12/30/20,1,4,0,9,59,59
1/3/21,6,42,54,4,56,57
1/4/21,4,42,3,7,13,11
1/5/21,7,2,31,12,45,50
1/14/21,2,6,16,7,58,54
1/15/21,3,54,30,2,34,17
1/20/21,3,6,6,9,59,59
1/21/21,1,30,1,0,0,0
1/22/21,11,6,30,10,14,51
1/25/21,10,38,28,5,43,9
1/26/21,3,58,28,10,19,21
1/27/21,7,1,49,8,50,34
1/28/21,4,32,35,8,49,52
1/29/21,6,27,20,11,26,4
2/1/21,1,21,14,9,59,59
2/2/21,13,41,29,4,32,22
2/3/21,3,32,59,7,14,22
2/5/21,0,15,49,13,37,33
2/6/21,8,6,45,3,10,28
2/7/21,4,6,19,5,50,46
2/8/21,3,55,51,11,60,16
2/9/21,3,29,7,13,54,31
2/10/21,1,39,24,8,29,35
2/12/21,0,0,0,7,10,58
2/13/21,9,58,11,4,19,27
2/16/21,1,47,10,6,43,6
2/17/21,1,37,53,9,59,59
2/18/21,0,0,0,8,4,36
2/19/21,2,53,21,14,36,52
2/20/21,0,0,0,0,1,4
2/22/21,6,16,41,6,55,14
2/23/21,1,23,26,5,18,16
2/24/21,5,24,11,18,5,47
2/25/21,10,41,3,4,16,38
2/26/21,6,6,32,9,28,25
2/27/21,1,50,0,0,0,0
3/1/21,5,57,26,8,35,46
3/2/21,0,0,0,15,39,41
3/3/21,6,47,6,7,57,25
3/5/21,1,43,25,14,34,1
3/6/21,2,21,0,0,0,0
3/7/21,3,59,19,7,38,16
3/8/21,5,23,54,9,47,19
3/9/21,7,58,46,7,20,32
3/10/21,9,11,57,5,20,43
3/11/21,10,58,3,4,41,21
3/12/21,1,30,0,4,7,0
3/13/21,14,23,54,5,50,51
3/14/21,9,44,54,5,5,34
3/15/21,11,28,33,5,29,45
3/16/21,13,50,38,1,23,19
3/17/21,9,53,40,4,48,7
3/18/21,9,8,46,5,60,49
3/19/21,6,46,21,7,26,13
3/21/21,8,54,16,4,26,35
3/22/21,11,2,46,4,20,42
3/24/21,9,37,41,6,52,7
3/25/21,9,59,59,2,34,38
3/26/21,6,35,21,4,10,58
3/29/21,8,15,6,6,22,20
3/30/21,8,33,27,4,18,6
03/31/21,0,0,0,7,13,56
04/01/21,9,13,11,6,29,15
04/02/21,6,35,58,8,56,8
04/03/21,3,59,56,4,45,59
04/04/21,9,40,43,3,44,16
04/05/21,5,31,32,7,21,9
04/06/21,7,58,26,4,26,46
04/07/21,7,41,9,5,17,40
04/08/21,7,30,22,4,48,33
04/11/21,8,54,40,6,57,45
04/12/21,11,15,57,9,28,42
04/13/21,8,32,58,7,48,37
04/14/21,8,20,38,7,33,31
04/15/21,6,56,54,8,18,47
04/16/21,9,5,31,6,56,36
04/19/21,7,42,58,3,9,47
04/20/21,7,54,40,6,18,43
04/21/21,6,34,51,9,30,48
04/22/21,6,38,24,9,59,59
04/23/21,7,44,30,6,25,21
04/25/21,8,60,60,0,57,37
04/26/21,2,28,6,0,0,0
04/27/21,7,1,5,9,59,59
04/28/21,7,8,36,8,20,16
04/29/21,7,37,57,8,0,0
04/30/21,7,12,29,8,5,60
05/01/21,8,55,33,5,13,29
05/03/21,7,49,37,2,40,31
05/04/21,9,32,36,7,27,9
05/05/21,10,42,56,5,5,50
05/06/21,9,59,59,7,40,19
05/09/21,13,42,1,2,14,33
05/10/21,8,48,35,7,5,49
05/11/21,11,11,30,4,39,24
05/12/21,8,2,57,7,38,21
05/13/21,7,44,25,11,0,0
05/14/21,7,10,34,7,57,39
